state,positive_cases,total_tests,percentage_positive
ID,141077.0,545485.0,25.86267266744273
IL,975352.0,13436652.0,7.25889157507391
IN,523090.0,5769273.0,9.066826964159956
KS,227745.0,1012506.0,22.493200040296056
KY,273971.0,3210804.0,8.532784934863667
LA,315275.0,4214182.0,7.481285810627068
MA,384181.0,11046093.0,3.4779808571229665
MD,283171.0,5807666.0,4.87581413944948
ME,25245.0,1112457.0,2.269301195461937
MI,538121.0,8122575.0,6.625005001492753
MN,417832.0,5387936.0,7.754954773033681
MO,399456.0,3679665.0,10.855770837834422
MP,122.0,17551.0,0.6951170873454504
MS,220277.0,1347935.0,16.341811734245347
MT,81944.0,792779.0,10.336298009911967
NC,558437.0,7079384.0,7.888214567821156
ND,92891.0,1253895.0,7.408196061073695
NE,167716.0,1766104.0,9.496382998962687
NH,45184.0,1032929.0,4.374356804775546
NJ,538702.0,7848555.0,6.863709306999824
NM,145379.0,1995329.0,7.285966374467569
NV,228871.0,2111559.0,10.838958324157648
NY,1005785.0,25706759.0,3.912531330767912
OH,714673.0,7819008.0,9.140200393707232
OK,296055.0,2690373.0,11.004236215573082
OR,116348.0,2652670.0,4.386071392219915
PA,657292.0,3946800.0,16.653795479882437
PR,77932.0,383904.0,20.299866633325
RI,91187.0,2027055.0,4.498496587413761
SC,312718.0,3204255.0,9.75946046740974
SD,99829.0,373946.0,26.696100506490243
TN,604132.0,5718900.0,10.563779747853609
TX,1777246.0,14005637.0,12.689504947186622
UT,281654.0,2268187.0,12.417582853618331
VA,358755.0,4337939.0,8.270171618365312
VI,2036.0,36212.0,5.622445598144261
VT,7689.0,708246.0,1.0856397353461933
WA,246752.0,3836820.0,6.4311591369936565
WI,523652.0,5402674.0,9.692459696809395
WV,89327.0,1552160.0,5.755012369858777
WY,44573.0,501784.0,8.882905792133668
AK,45461.0,1275750.0,3.5634724671761706
AL,365747.0,1885216.0,19.40080075704853
AR,229442.0,2068084.0,11.094423630761613
AS,0.0,2140.0,0.0
AZ,530267.0,5155330.0,10.285801296910188
CA,2292568.0,33058311.0,6.93492175084202
CO,337161.0,4444206.0,7.586529517308603
CT,185708.0,4320693.0,4.298106808329127
DC,29252.0,904302.0,3.2347600690919625
DE,58064.0,984606.0,5.897181207508384
FL,1300528.0,15703599.0,8.281719368916642
GA,575395.0,5401054.0,10.65338358031599
GU,7326.0,96201.0,7.6153054542052585
HI,22120.0,816811.0,2.7080928146168453
IA,240766.0,1174406.0,20.501087358204913
ID,141077.0,545485.0,25.86267266744273
